study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	fastq_aspera
PRJEB29746	SAMEA104549444	ERS2160728	ERX2908917	ERR2905757	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905757/ERR2905757_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905757/ERR2905757_2.fastq.gz
PRJEB29746	SAMEA104549445	ERS2160729	ERX2908918	ERR2905758	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905758/ERR2905758_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905758/ERR2905758_2.fastq.gz
PRJEB29746	SAMEA104549446	ERS2160730	ERX2908919	ERR2905759	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905759/ERR2905759_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905759/ERR2905759_2.fastq.gz
PRJEB29746	SAMEA104549447	ERS2160731	ERX2908920	ERR2905760	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905760/ERR2905760_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905760/ERR2905760_2.fastq.gz
PRJEB29746	SAMEA104549448	ERS2160732	ERX2908921	ERR2905761	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905761/ERR2905761_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905761/ERR2905761_2.fastq.gz
PRJEB29746	SAMEA104549449	ERS2160733	ERX2908922	ERR2905762	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905762/ERR2905762_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905762/ERR2905762_2.fastq.gz
PRJEB29746	SAMEA104549450	ERS2160734	ERX2908923	ERR2905763	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905763/ERR2905763_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905763/ERR2905763_2.fastq.gz
PRJEB29746	SAMEA104549452	ERS2160736	ERX2908925	ERR2905765	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905765/ERR2905765_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905765/ERR2905765_2.fastq.gz
PRJEB29746	SAMEA104549453	ERS2160737	ERX2908926	ERR2905766	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905766/ERR2905766_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905766/ERR2905766_2.fastq.gz
PRJEB29746	SAMEA104549454	ERS2160738	ERX2908927	ERR2905767	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905767/ERR2905767_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905767/ERR2905767_2.fastq.gz
