Experiment	Loss	Random_State	Fold	Train Corr	Val Corr
full	Base	1	0	0.8280777931213379	0.810533881187439
full	Base	1	1	0.8179742097854614	0.810473620891571
full	Base	1	2	0.8122530579566956	0.8315086960792542
full	Base	1	3	0.8358540534973145	0.8253627419471741
full	Base	1	4	0.8274595141410828	0.8206835389137268
full	Base	42	0	0.822833240032196	0.811691164970398
full	Base	42	1	0.8284798860549927	0.8274486064910889
full	Base	42	2	0.8146746158599854	0.8189697861671448
full	Base	42	3	0.7944698333740234	0.83038330078125
full	Base	42	4	0.8276458382606506	0.8114120364189148
full	Base	919	0	0.8303723931312561	0.8167759776115417
full	Base	919	1	0.8120489120483398	0.8006665706634521
full	Base	919	2	0.8028374314308167	0.8252441883087158
full	Base	919	3	0.8231489658355713	0.8218231201171875
full	Base	919	4	0.8101882338523865	0.8275554180145264
full+numrepeat	Base	1	0	0.8180853724479675	0.8184479475021362
full+numrepeat	Base	1	1	0.8187869787216187	0.8128616809844971
full+numrepeat	Base	1	2	0.8262563943862915	0.8324286341667175
full+numrepeat	Base	1	3	0.8392127156257629	0.823167085647583
full+numrepeat	Base	1	4	0.8198337554931641	0.8218594789505005
full+numrepeat	Base	42	0	0.8270585536956787	0.8125746846199036
full+numrepeat	Base	42	1	0.8374201655387878	0.8268765211105347
full+numrepeat	Base	42	2	0.8185799717903137	0.8214110732078552
full+numrepeat	Base	42	3	0.8598440289497375	0.8312191963195801
full+numrepeat	Base	42	4	0.8247026205062866	0.8123757243156433
full+numrepeat	Base	919	0	0.8318341374397278	0.8190664649009705
full+numrepeat	Base	919	1	0.8187806606292725	0.8075169324874878
full+numrepeat	Base	919	2	0.8239629864692688	0.8237723112106323
full+numrepeat	Base	919	3	0.8261123299598694	0.8245850205421448
full+numrepeat	Base	919	4	0.8071809411048889	0.8244302868843079
inDelphi_features	Base	1	0	0.6991415619850159	0.682769238948822
inDelphi_features	Base	1	1	0.7052764296531677	0.6804447174072266
inDelphi_features	Base	1	2	0.6668205857276917	0.70113605260849
inDelphi_features	Base	1	3	0.6868274807929993	0.705046534538269
inDelphi_features	Base	1	4	0.6936478018760681	0.6768176555633545
inDelphi_features	Base	42	0	0.6978976130485535	0.6750005483627319
inDelphi_features	Base	42	1	0.6931799650192261	0.6968090534210205
inDelphi_features	Base	42	2	0.6687000393867493	0.6834626793861389
inDelphi_features	Base	42	3	0.6683056950569153	0.7020430564880371
inDelphi_features	Base	42	4	0.6946009397506714	0.6865882277488708
inDelphi_features	Base	919	0	0.6933555603027344	0.6884959936141968
inDelphi_features	Base	919	1	0.7126742601394653	0.6738996505737305
inDelphi_features	Base	919	2	0.6834704279899597	0.6925966739654541
inDelphi_features	Base	919	3	0.69293612241745	0.6899861693382263
inDelphi_features	Base	919	4	0.7015622854232788	0.6946704983711243
no_hdr	Base	1	0	0.8325948119163513	0.8147886991500854
no_hdr	Base	1	1	0.8222980499267578	0.8100889325141907
no_hdr	Base	1	2	0.8152420520782471	0.8335651159286499
no_hdr	Base	1	3	0.8323425054550171	0.8218110799789429
no_hdr	Base	1	4	0.8295405507087708	0.8214786052703857
no_hdr	Base	42	0	0.8192903399467468	0.8129581809043884
no_hdr	Base	42	1	0.8304428458213806	0.8292568922042847
no_hdr	Base	42	2	0.815559446811676	0.8193552494049072
no_hdr	Base	42	3	0.801540195941925	0.8328642249107361
no_hdr	Base	42	4	0.8391789793968201	0.8144290447235107
no_hdr	Base	919	0	0.8298462629318237	0.814918577671051
no_hdr	Base	919	1	0.8272750973701477	0.8100590109825134
no_hdr	Base	919	2	0.8073826432228088	0.8272294402122498
no_hdr	Base	919	3	0.8250354528427124	0.8243352174758911
no_hdr	Base	919	4	0.8135351538658142	0.8297755122184753
no_hdr_hlr	Base	1	0	0.8358555436134338	0.816800594329834
no_hdr_hlr	Base	1	1	0.8224592208862305	0.8100746273994446
no_hdr_hlr	Base	1	2	0.8335157632827759	0.8319079279899597
no_hdr_hlr	Base	1	3	0.7921144366264343	0.8220159411430359
no_hdr_hlr	Base	1	4	0.8259817361831665	0.8217982053756714
no_hdr_hlr	Base	42	0	0.8176885843276978	0.811016321182251
no_hdr_hlr	Base	42	1	0.8206572532653809	0.8298805356025696
no_hdr_hlr	Base	42	2	0.8180234432220459	0.8195563554763794
no_hdr_hlr	Base	42	3	0.8121885657310486	0.8273302912712097
no_hdr_hlr	Base	42	4	0.8204466104507446	0.8124338984489441
no_hdr_hlr	Base	919	0	0.8093799352645874	0.8166683316230774
no_hdr_hlr	Base	919	1	0.8187597393989563	0.8077731132507324
no_hdr_hlr	Base	919	2	0.8063502311706543	0.8252328634262085
no_hdr_hlr	Base	919	3	0.8276032209396362	0.8262943029403687
no_hdr_hlr	Base	919	4	0.8228925466537476	0.8297672867774963
